region,year,extent
AlaskanArctic,1985,455401.9349466794
AlaskanArctic,1986,427585.32266872335
AlaskanArctic,1987,447861.2724162671
AlaskanArctic,1988,452948.78372809495
AlaskanArctic,1989,418310.0450653192
AlaskanArctic,1990,432810.3340664831
AlaskanArctic,1991,449195.56433323596
AlaskanArctic,1992,428025.8600474273
AlaskanArctic,1993,417909.99158643384
AlaskanArctic,1994,447958.07206040784
AlaskanArctic,1995,418636.24469699414
AlaskanArctic,1996,422221.1631834779
AlaskanArctic,1997,359063.0734280242
AlaskanArctic,1998,378029.9714809109
AlaskanArctic,1999,428414.08015346184
AlaskanArctic,2000,432538.13788157277
AlaskanArctic,2001,430866.4504057104
AlaskanArctic,2002,375091.72276049573
AlaskanArctic,2003,373158.0189924153
AlaskanArctic,2004,383657.1855690855
AlaskanArctic,2005,418394.42068484426
AlaskanArctic,2006,372698.6990196981
AlaskanArctic,2007,351146.67401280924
AlaskanArctic,2008,371159.7910086105
AlaskanArctic,2009,373520.7951680651
AlaskanArctic,2010,357102.050748006
AlaskanArctic,2011,365724.83039241366
AlaskanArctic,2012,436684.9485013805
AlaskanArctic,2013,382218.2725276268
AlaskanArctic,2014,371305.6905866061
AlaskanArctic,2015,350463.4936134186
AlaskanArctic,2016,314852.19092850713
AlaskanArctic,2017,338703.41013644065
AlaskanArctic,2018,312595.7582904615
AlaskanArctic,2019,343110.0151674898
AlaskanArctic,2020,378655.51226173854
AlaskanArctic,2021,385666.5832153896
AlaskanArctic,2022,347554.76043389307
AlaskanArctic,2023,339744.8204270699
NorthernBering,1985,131844.26088421184
NorthernBering,1986,141853.86854075568
NorthernBering,1987,151039.2841694758
NorthernBering,1988,123119.56007996324
NorthernBering,1989,137428.28991196287
NorthernBering,1990,139106.37693094165
NorthernBering,1991,144152.86185826053
NorthernBering,1992,134313.44645961787
NorthernBering,1993,134006.74853796294
NorthernBering,1994,142644.2568487235
NorthernBering,1995,112701.73972692687
NorthernBering,1996,124841.79190398591
NorthernBering,1997,134034.30742581037
NorthernBering,1998,143410.0215856235
NorthernBering,1999,149341.42848254144
NorthernBering,2000,97896.58422050092
NorthernBering,2001,137294.4771492161
NorthernBering,2002,99399.97645724959
NorthernBering,2003,108793.71473652779
NorthernBering,2004,117467.31685960348
NorthernBering,2005,153302.96674539795
NorthernBering,2006,128454.21726188039
NorthernBering,2007,132378.997499047
NorthernBering,2008,144630.87993170138
NorthernBering,2009,146090.9482681267
NorthernBering,2010,118061.50451325104
NorthernBering,2011,153479.62263919477
NorthernBering,2012,186499.03670767762
NorthernBering,2013,105121.72694707394
NorthernBering,2014,101182.01566230936
NorthernBering,2015,99929.6719946029
NorthernBering,2016,90842.0366087485
NorthernBering,2017,51743.703313306156
NorthernBering,2018,58888.6222099936
NorthernBering,2019,105179.41241818984
NorthernBering,2020,110516.61619118627
NorthernBering,2021,119350.00228794907
NorthernBering,2022,121119.3385936693
NorthernBering,2023,141596.7906073329
EasternBering,1985,204285.92134700908
EasternBering,1986,187312.54730393397
EasternBering,1987,257863.45868359914
EasternBering,1988,173427.37555801633
EasternBering,1989,202596.40478100433
EasternBering,1990,224329.0740061292
EasternBering,1991,232226.87644242262
EasternBering,1992,190556.51639445033
EasternBering,1993,206960.19526748176
EasternBering,1994,233508.74348580738
EasternBering,1995,154040.89392453452
EasternBering,1996,203530.2322192014
EasternBering,1997,206464.01538777613
EasternBering,1998,230117.54894005723
EasternBering,1999,220414.60650568688
EasternBering,2000,113294.65274600685
EasternBering,2001,202537.81973905946
EasternBering,2002,128141.39599469969
EasternBering,2003,155279.26816666138
EasternBering,2004,144361.760929107
EasternBering,2005,225289.5453595596
EasternBering,2006,200270.09409115268
EasternBering,2007,232682.94068806505
EasternBering,2008,237186.0764571875
EasternBering,2009,245350.86292013666
EasternBering,2010,184582.57650156543
EasternBering,2011,283704.22045838874
EasternBering,2012,308450.5728743638
EasternBering,2013,134363.93965429472
EasternBering,2014,136627.1044508248
EasternBering,2015,116856.99662090122
EasternBering,2016,138915.6977407144
EasternBering,2017,62982.552506622334
EasternBering,2018,70730.8842065569
EasternBering,2019,151670.27142485985
EasternBering,2020,138527.06760479102
EasternBering,2021,182060.82003216338
EasternBering,2022,162891.7447102007
EasternBering,2023,195334.5021498622
